,step,lr,grid,k,internal_units,batch,lamb,lamb_entropy,avg_val_loss
197,50,0.0001,8,2,12,64,0.01,100,0.9862771232922872
198,50,0.0001,8,2,16,32,0.01,100,1.0207786162694295
199,50,0.0001,8,2,16,64,0.01,100,1.018319805463155
200,50,0.0001,8,2,12,32,0.1,10,0.9874084989229838
201,50,0.0001,8,2,12,64,0.1,10,0.9871148665746053
202,50,0.0001,8,2,16,32,0.1,10,1.0223568280537922
203,50,0.0001,8,2,16,64,0.1,10,1.0201442639033
204,50,0.0001,8,2,12,32,0.1,100,0.9921750624974569
205,50,0.0001,8,2,12,64,0.1,100,0.9931316375732422
206,50,0.0001,8,2,16,32,0.1,100,1.030125101407369
207,50,0.0001,8,2,16,64,0.1,100,1.0289424657821655
208,50,0.0001,8,3,12,32,0.01,10,0.9767420887947083
209,50,0.0001,8,3,12,64,0.01,10,0.9770019849141439
210,50,0.0001,8,3,16,32,0.01,10,1.003838300704956
211,50,0.0001,8,3,16,64,0.01,10,1.0039177735646565
212,50,0.0001,8,3,12,32,0.01,100,0.9847517808278402
213,50,0.0001,8,3,12,64,0.01,100,0.9866036574045817
214,50,0.0001,8,3,16,32,0.01,100,1.0161550839742024
215,50,0.0001,8,3,16,64,0.01,100,1.0184155702590942
216,50,0.0001,8,3,12,32,0.1,10,0.9855688810348511
217,50,0.0001,8,3,12,64,0.1,10,0.9874615867932638
218,50,0.0001,8,3,16,32,0.1,10,1.0176620086034138
219,50,0.0001,8,3,16,64,0.1,10,1.020246187845866
220,50,0.0001,8,3,12,32,0.1,100,0.9904879530270895
221,50,0.0001,8,3,12,64,0.1,100,0.993233859539032
222,50,0.0001,8,3,16,32,0.1,100,1.025584061940511
223,50,0.0001,8,3,16,64,0.1,100,1.0288573900858562
224,50,0.0001,10,2,12,32,0.01,10,0.9917943676312765
225,50,0.0001,10,2,12,64,0.01,10,0.9902955293655396
226,50,0.0001,10,2,16,32,0.01,10,1.1510558525721233
227,50,0.0001,10,2,16,64,0.01,10,1.1453616619110107
228,50,0.0001,10,2,12,32,0.01,100,0.9993159174919128
229,50,0.0001,10,2,12,64,0.01,100,0.9995554685592651
230,50,0.0001,10,2,16,32,0.01,100,1.1800181865692139
231,50,0.0001,10,2,16,64,0.01,100,1.1793809334437053
232,50,0.0001,10,2,12,32,0.1,10,0.9996986786524454
233,50,0.0001,10,2,12,64,0.1,10,1.0000227093696594
234,50,0.0001,10,2,16,32,0.1,10,1.1835368871688843
235,50,0.0001,10,2,16,64,0.1,10,1.1829309463500977
236,50,0.0001,10,2,12,32,0.1,100,1.003989080588023
237,50,0.0001,10,2,12,64,0.1,100,1.00546791156133
238,50,0.0001,10,2,16,32,0.1,100,1.2088114817937214
239,50,0.0001,10,2,16,64,0.1,100,1.2077444394429524
240,50,0.0001,10,3,12,32,0.01,10,0.9930815498034159
241,50,0.0001,10,3,12,64,0.01,10,0.9896016915639242
242,50,0.0001,10,3,16,32,0.01,10,1.151849587758382
243,50,0.0001,10,3,16,64,0.01,10,1.1442631085713704
244,50,0.0001,10,3,12,32,0.01,100,1.0012275377909343
245,50,0.0001,10,3,12,64,0.01,100,0.9989908536275228
246,50,0.0001,10,3,16,32,0.01,100,1.180080731709798
247,50,0.0001,10,3,16,64,0.01,100,1.1785122553507488
248,50,0.0001,10,3,12,32,0.1,10,1.0016401211420696
249,50,0.0001,10,3,12,64,0.1,10,0.9994810024897257
250,50,0.0001,10,3,16,32,0.1,10,1.1837275822957356
251,50,0.0001,10,3,16,64,0.1,10,1.1821072896321614
252,50,0.0001,10,3,12,32,0.1,100,1.006178081035614
253,50,0.0001,10,3,12,64,0.1,100,1.0049425562222798
254,50,0.0001,10,3,16,32,0.1,100,1.2102715571721394
255,50,0.0001,10,3,16,64,0.1,100,1.2072633504867554
256,50,0.0001,12,2,12,32,0.01,10,1.0415750741958618
257,50,0.0001,12,2,12,64,0.01,10,1.0375311374664307
258,50,0.0001,12,2,16,32,0.01,10,0.9787883559862772
259,50,0.0001,12,2,16,64,0.01,10,0.9753784934679667
260,50,0.0001,12,2,12,32,0.01,100,1.0581398804982503
261,50,0.0001,12,2,12,64,0.01,100,1.057643969853719
262,50,0.0001,12,2,16,32,0.01,100,0.9870146910349528
263,50,0.0001,12,2,16,64,0.01,100,0.9853989283243815
264,50,0.0001,12,2,12,32,0.1,10,1.0596428712209065
265,50,0.0001,12,2,12,64,0.1,10,1.05917227268219
266,50,0.0001,12,2,16,32,0.1,10,0.9877559145291647
267,50,0.0001,12,2,16,64,0.1,10,0.9863387942314148
